RMSE (en %);RMSE OOS (en %);Residuals Statio PValue;Predictor_1;Predictor_2;Coeff_1;Coeff_2;Transfo_1;Transfo_2;Priority_1;Priority_2;2-1;Is signif;Breusch-Pagan;Durbin Watson;Jarque Bera;R2;R2OOS
6,5;7,4;0,0;PIB_Reel.lag_12;RDB_Nominal.Diff.lag_1;360,14;356,88;Level;Difference;1;1,0;0,67;0;0,64;0;24;0,9;-0,09025228811012864
5,9;6,6;0,0;INSEE_PIBFR.lag_1;RDB_Nominal.Diff.lag_3;0,32;344,88;Level;Difference;1;1,0;0,68;0;0,6;0;17;0,92;-0,09086590491749957
6,4;6,5;0,0;PIB_Reel.lag_1;INSEE_PIBFR.Diff.lag_3;335,33;-0,11;Level;Difference;1;1,0;0,48;1;0,77;0;45;0,9;-0,09088265649905747
6,1;6,5;0,0;INSEE_PIBFR.t;EUSA10_Curncy.Diff.lag_1;0,33;966,44;Level;Difference;1;1,0;-0,05;0;0,89;0;16;0,91;-0,09088292770038597
5,3;5,3;0,0;INSEE_InvestEntreprisesNonFinancieresFR.t;EURONEXT_CAC40.pct.lag_1;1,16;-55,9;Level;Growth_rate;1;1,0;-0,22;1;0,36;1;5;0,93;-0,09093271153055871
6,4;8,5;0,0;RDB_Nominal.lag_1;Spread5Y6M.pct.lag_3;374,11;3,04;Level;Growth_rate;1;1,0;0,0;1;0,82;0;65;0,91;-0,0910737913950348
6,4;9,4;0,0;RDB_Nominal.lag_3;Spread5Y6M.pct.lag_3;388,63;3,45;Level;Growth_rate;1;1,0;-0,01;1;0,58;0;51;0,9;-0,09117781501199285
5,8;5,1;0,0;INSEE_ConsommationFinaleMenagesFR.t;STOXX_EUROSTOXX50.pct.t;0,71;-40,66;Level;Growth_rate;1;1,0;-0,26;0;0,48;0;30;0,92;-0,09118298814365855
5,7;6,6;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_12;EUROSTAT_GDPEuroArea.pct.lag_1;1,25;1601,77;Level;Growth_rate;1;1,0;0,27;1;0,49;0;11;0,92;-0,0911881205586087
5,5;5,2;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;PIB_Reel.pct.lag_3;1,25;-536,53;Level;Growth_rate;1;1,0;0,71;0;0,39;0;19;0,93;-0,09135087612732651
6,0;6,5;0,0;INSEE_PIBFR.lag_1;BBG_TauxOat10Y.Diff.t;0,33;1064,56;Level;Difference;1;1,0;0,07;0;0,7;0;28;0,92;-0,09142400912710724
6,4;7,2;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_12;SpreadOAT10Y6M.pct.lag_3;1,33;12,13;Level;Growth_rate;1;1,0;-0,1;1;0,65;0;38;0,91;-0,09151017304149955
6,2;5,9;0,0;PIB_Reel.lag_1;Chomage.pct.t;302,33;-181,17;Level;Growth_rate;1;1,0;-0,75;1;0,51;0;26;0,91;-0,09153707936555033
5,2;4,6;0,0;EUROSTAT_GDPEuroArea.lag_3;EUR003M_Index.Diff.lag_12;0,06;4595,47;Level;Difference;1;1,0;0,24;0;0,37;0;12;0,93;-0,09176179629777015
6,4;6,1;0,0;SP_SP500.t;EUR006M_Index.lag_3;9,69;-7453,51;Level;Level;1;1,0;-0,84;1;0,23;0;0;0,89;-0,09179973501922434
6,0;6,9;0,0;INSEE_PIBFR.lag_1;EUR006M_Index.pct.t;0,33;0,14;Level;Growth_rate;1;1,0;0,05;0;0,72;0;17;0,91;-0,09193335629224353
6,1;7,3;0,0;INSEE_PIBFR.lag_1;EUR006M_Index.Diff.t;0,33;3749,65;Level;Difference;1;1,0;0,23;0;0,74;0;14;0,91;-0,09193880934434184
5,8;7,2;0,0;INSEE_PIBFR.lag_1;EUSA5_Curncy.lag_3;0,32;-1263,01;Level;Level;1;1,0;-0,62;0;0,25;0;27;0,92;-0,09226620601435487
7,7;5,6;0,0;SP_SP500.lag_1;EUSA5_Curncy.Diff.t;13,85;-486,46;Level;Difference;1;1,0;0,16;0;0,56;0;22;0,86;-0,09243470017301036
6,4;8,4;0,0;INSEE_PIBFR.lag_12;CPI_Excl_Tabac.Diff.lag_12;0,39;431,0;Level;Difference;1;1,0;0,2;1;0,59;0;18;0,9;-0,09264449672971709
6,4;6,6;0,0;PIB_Reel.lag_1;Spread10Y6M.pct.lag_3;331,08;2,94;Level;Growth_rate;1;1,0;-0,03;0;0,75;0;44;0,9;-0,09267782951592785
6,4;7,0;0,0;PIB_Reel.lag_1;INSEE_PIBFR.pct.lag_1;346,69;-543,15;Level;Growth_rate;1;1,0;0,74;0;0,54;0;55;0,9;-0,09291838928206553
6,4;7,0;0,0;PIB_Reel.lag_1;EUR006M_Index.Diff.lag_3;331,21;-1293,57;Level;Difference;1;1,0;0,11;0;0,27;0;48;0,9;-0,09294369430612015
5,2;3,6;0,0;EUROSTAT_GDPEuroArea.lag_1;Spread6M3M.lag_1;0,07;30095,27;Level;Level;1;1,0;-0,69;0;0,67;1;1;0,93;-0,09308634882695332
6,2;5,2;0,0;PIB_Reel.t;INSEE_ConfianceMenagesFR.Diff.t;328,61;-96,06;Level;Difference;1;1,0;-0,08;0;0,81;0;8;0,9;-0,09315977809673504
6,5;9,5;0,0;RDB_Nominal.t;SpreadOat10Y3M.lag_1;368,07;3,04;Level;Level;1;1,0;-0,54;0;0,43;0;47;0,9;-0,09352946941470708
5,3;4,6;0,0;INSEE_ConsommationFinaleMenagesFR.lag_12;EUSA10_Curncy.pct.lag_3;0,81;0,74;Level;Growth_rate;1;1,0;0,05;0;0,58;0;9;0,93;-0,09359641611220648
6,5;10,2;0,0;RDB_Nominal.lag_3;SpreadOAT10Y6M.Diff.lag_1;388,74;835,88;Level;Difference;1;1,0;-0,03;1;0,56;0;28;0,9;-0,09377516755261972
6,4;11,2;0,0;RDB_Nominal.lag_3;INSEE_PIBFR.pct.lag_12;352,8;865,89;Level;Growth_rate;1;1,0;0,79;0;0,72;0;26;0,9;-0,09384345820164319
5,7;4,9;0,0;EUROSTAT_GDPEuroArea.lag_12;EUROSTAT_GDPEuroArea.Diff.lag_1;0,06;0,04;Level;Difference;1;1,0;0,06;0;0,83;0;54;0,93;-0,09436324051974965
6,5;9,7;0,0;RDB_Nominal.lag_1;SpreadOat10Y3M.Diff.lag_3;375,21;413,0;Level;Difference;1;1,0;-0,13;1;0,64;0;60;0,9;-0,09451781872358533
5,3;4,5;0,0;INSEE_ConsommationFinaleMenagesFR.lag_12;EUR006M_Index.pct.t;0,81;-0,02;Level;Growth_rate;1;1,0;0,06;1;0,56;0;9;0,93;-0,09466378078540938
6,0;6,3;0,0;INSEE_PIBFR.t;INSEE_PIBFR.Diff.lag_3;0,34;-0,17;Level;Difference;1;1,0;0,49;0;0,79;0;14;0,91;-0,09481782150837104
6,5;8,3;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_12;EUROSTAT_GDPEuroArea.Diff.lag_1;1,31;0,1;Level;Difference;1;1,0;0,0;1;0,53;0;17;0,9;-0,09512464172528845
5,9;5,4;0,0;INSEE_ConsommationFinaleMenagesFR.lag_1;STOXX_EUROSTOXX50.pct.lag_3;0,72;-17,32;Level;Growth_rate;1;1,0;-0,43;0;0,26;0;42;0,91;-0,09513313839009419
6,1;6,5;0,0;INSEE_PIBFR.lag_12;EUSA10_Curncy.pct.lag_1;0,4;11,21;Level;Growth_rate;1;1,0;-0,17;1;0,91;0;6;0,91;-0,09514273819921115
5,9;5,4;0,0;INSEE_ConsommationFinaleMenagesFR.lag_3;SP_SP500.Diff.lag_3;0,75;-1,23;Level;Difference;1;1,0;0,06;1;0,36;0;23;0,91;-0,09525401834281655
5,9;5,5;0,0;INSEE_ConsommationFinaleMenagesFR.lag_1;EURONEXT_CAC40.pct.lag_3;0,73;-5,24;Level;Growth_rate;1;1,0;-0,37;0;0,28;0;35;0,91;-0,0953769104504778
5,4;4,6;0,0;EUROSTAT_GDPEuroArea.t;Spread5Y3M.pct.lag_3;0,06;-2,87;Level;Growth_rate;1;1,0;0,09;0;0,49;0;32;0,93;-0,0956714632413298
6,2;8,8;0,0;RDB_Nominal.lag_1;Spread6M3M.pct.t;372,75;11,29;Level;Growth_rate;1;1,0;0,05;0;0,23;0;47;0,91;-0,09568142541551161
6,4;9,6;0,0;RDB_Nominal.t;INSEE_ConsommationFinaleMenagesFR.pct.lag_3;363,91;378,84;Level;Growth_rate;1;1,0;0,36;1;0,34;0;52;0,9;-0,09570650800606262
6,0;6,4;0,0;INSEE_ConsommationFinaleMenagesFR.lag_3;SpreadOAT10Y6M.pct.lag_1;0,74;-2,66;Level;Growth_rate;1;1,0;-0,01;0;0,45;0;24;0,91;-0,09573050425909768
5,9;7,1;0,0;RDB_Nominal.t;Spread6M3M.Diff.lag_3;375,29;40732,84;Level;Difference;1;1,0;-0,15;1;0,68;0;15;0,92;-0,09603252335946211
5,9;5,3;0,0;INSEE_ConsommationFinaleMenagesFR.lag_3;STOXX_EUROSTOXX50.pct.lag_3;0,73;-21,29;Level;Growth_rate;1;1,0;-0,42;0;0,31;0;41;0,91;-0,09605319920106026
6,4;7,4;0,0;PIB_Reel.lag_12;BBG_TauxOat10Y.pct.lag_1;383,68;3,24;Level;Growth_rate;1;1,0;-0,12;1;0,77;0;4;0,9;-0,09606779372949537
5,3;4,5;0,0;INSEE_ConsommationFinaleMenagesFR.lag_12;STOXX_EUROSTOXX50.lag_1;0,81;-0,3;Level;Level;1;1,0;0,45;1;0,59;0;9;0,93;-0,09609963823582235
5,9;5,9;0,0;INSEE_ConsommationFinaleMenagesFR.t;SpreadOAT10Y6M.pct.lag_3;0,73;-0,2;Level;Growth_rate;1;1,0;0,04;0;0,23;0;28;0,91;-0,09614585461718717
5,9;5,8;0,0;INSEE_ConsommationFinaleMenagesFR.t;SpreadOat10Y3M.pct.lag_3;0,73;0,46;Level;Growth_rate;1;1,0;0,03;0;0,22;0;29;0,91;-0,0961512871097363
5,9;5,2;0,0;INSEE_ConsommationFinaleMenagesFR.lag_3;EUSA10_Curncy.pct.lag_3;0,74;3,43;Level;Growth_rate;1;1,0;0,02;0;0,42;0;32;0,91;-0,09615310979177183
5,9;5,4;0,0;INSEE_ConsommationFinaleMenagesFR.t;INSEE_ProductionIndustrielle_France.pct.lag_3;0,73;56,6;Level;Growth_rate;1;1,0;0,25;1;0,17;0;25;0,91;-0,09616523412233313
5,9;5,5;0,0;INSEE_ConsommationFinaleMenagesFR.lag_1;INSEE_PIBFR.pct.lag_3;0,72;163,55;Level;Growth_rate;1;1,0;0,75;1;0,25;0;28;0,91;-0,09618319374222373
5,9;5,5;0,0;INSEE_ConsommationFinaleMenagesFR.t;EUR003M_Index.pct.lag_3;0,73;-0,17;Level;Growth_rate;1;1,0;0,0;0;0,25;0;29;0,91;-0,09620651644425648
5,9;5,2;0,0;INSEE_ConsommationFinaleMenagesFR.t;Spread10Y3M.pct.lag_3;0,73;5,28;Level;Growth_rate;1;1,0;-0,03;0;0,2;0;28;0,91;-0,09626206639719048
6,4;8,3;0,0;INSEE_PIBFR.lag_12;EUR003M_Index.pct.lag_3;0,39;0,07;Level;Growth_rate;1;1,0;-0,03;1;0,5;0;20;0,9;-0,09627701342892081
6,4;5,7;0,0;PIB_Reel.t;Spread5Y3M.pct.lag_12;329,66;0,47;Level;Growth_rate;1;1,0;0,25;0;0,53;0;5;0,9;-0,09629618788236094
6,2;8,7;0,0;RDB_Nominal.lag_1;CPI_Excl_Tabac.lag_12;459,82;-1143,31;Level;Level;1;1,0;0,92;1;0,68;0;26;0,91;-0,09645275216665117
5,9;5,4;0,0;INSEE_ConsommationFinaleMenagesFR.lag_3;STOXX_EUROSTOXX50.lag_3;0,76;-0,91;Level;Level;1;1,0;0,49;0;0,28;0;39;0,91;-0,09646398716310989
5,5;5,2;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;EURONEXT_CAC40.lag_1;1,3;-1,21;Level;Level;1;1,0;0,87;1;0,61;0;6;0,93;-0,09646972316383806
6,0;7,0;0,0;INSEE_PIBFR.lag_1;INSEE_ProductionIndustrielle_France.pct.lag_1;0,33;51,35;Level;Growth_rate;1;1,0;0,21;0;0,56;0;18;0,91;-0,09675148921027277
5,4;4,7;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_3;EUSA10_Curncy.lag_12;1,16;-785,26;Level;Level;1;1,0;-0,64;1;0,53;0;8;0,93;-0,09689502921641946
6,3;8,0;0,0;PIB_Reel.lag_3;PIB_Reel.Diff.lag_1;333,47;72,09;Level;Difference;1;1,0;0,17;0;0,61;0;8;0,9;-0,09698985461031939
5,6;5,3;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;EUSA5_Curncy.Diff.lag_12;1,19;508,93;Level;Difference;1;1,0;0,2;0;0,53;0;11;0,92;-0,09711175726641397
6,1;7,7;0,0;RDB_Nominal.lag_1;Spread10Y3M.pct.lag_1;381,08;15,57;Level;Growth_rate;1;1,0;-0,16;1;0,7;0;49;0,91;-0,09715758218540849
6,1;6,3;0,0;INSEE_PIBFR.t;BBG_TauxOat10Y.Diff.lag_1;0,33;750,02;Level;Difference;1;1,0;0,01;0;0,93;0;16;0,91;-0,0972361301617437
5,9;5,3;0,0;INSEE_ConsommationFinaleMenagesFR.t;SpreadOAT10Y6M.pct.lag_12;0,72;5,83;Level;Growth_rate;1;1,0;0,16;1;0,16;0;8;0,91;-0,09727623493563065
8,1;8,0;0,0;SP_SP500.lag_3;CPI_Excl_Tabac.pct.lag_12;14,33;-492,66;Level;Growth_rate;1;1,0;0,44;0;0,56;0;24;0,86;-0,09728020707475582
8,1;7,0;0,0;SP_SP500.lag_3;INSEE_ProductionIndustrielle_France.Diff.lag_1;13,99;125,6;Level;Difference;1;1,0;0,01;0;0,47;0;21;0,86;-0,09736710618386368
6,3;8,8;0,0;RDB_Nominal.lag_1;SpreadOat10Y3M.Diff.t;373,28;1046,99;Level;Difference;1;1,0;0,04;0;0,4;0;67;0,9;-0,09771349683485253
6,2;9,2;0,0;INSEE_PIBFR.lag_3;BBG_TauxOat10Y.pct.lag_1;0,34;0,1;Level;Growth_rate;1;1,0;-0,06;0;0,53;0;18;0,91;-0,09798481671839432
5,9;5,3;0,0;INSEE_ConsommationFinaleMenagesFR.t;SpreadOat10Y3M.pct.lag_12;0,72;6,26;Level;Growth_rate;1;1,0;0,18;1;0,16;0;11;0,91;-0,09801311203319218
5,8;5,5;0,0;PIB_Reel.t;STOXX_EUROSTOXX50.lag_12;300,87;2,76;Level;Level;1;1,0;0,59;1;0,54;0;1;0,92;-0,09807935673185186
6,4;10,6;0,0;RDB_Nominal.lag_3;SpreadOat10Y3M.lag_3;384,06;-235,42;Level;Level;1;1,0;-0,53;0;0,29;0;30;0,9;-0,09828402126083668
6,4;9,6;0,0;INSEE_PIBFR.lag_12;INSEE_ConfianceMenagesFR.pct.t;0,38;-50,57;Level;Growth_rate;1;1,0;-0,28;0;0,4;0;7;0,9;-0,09855043438611322
5,9;6,8;0,0;PIB_Reel.lag_3;Spread10Y3M.lag_12;327,35;-1579,93;Level;Level;1;1,0;-0,24;1;0,43;0;5;0,91;-0,09892544804881598
6,2;8,5;0,0;INSEE_PIBFR.lag_3;EURONEXT_CAC40.Diff.lag_1;0,34;0,03;Level;Difference;1;1,0;0,03;1;0,59;0;18;0,91;-0,09912661535759337
6,0;7,0;0,0;INSEE_PIBFR.lag_1;EUR003M_Index.pct.lag_12;0,33;-0,1;Level;Growth_rate;1;1,0;0,08;1;0,59;0;20;0,91;-0,09944084348729243
5,9;6,7;0,0;INSEE_ConsommationFinaleMenagesFR.lag_1;INSEE_PIBFR.Diff.t;0,73;-0,01;Level;Difference;1;1,0;0,26;0;0,21;0;33;0,91;-0,09947629744014286
6,4;8,8;0,0;RDB_Nominal.t;EUR006M_Index.pct.lag_3;368,98;-0,49;Level;Growth_rate;1;1,0;0,08;0;0,37;0;61;0,9;-0,09967446143496361
5,6;5,0;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_3;INSEE_ConsommationFinaleMenagesFR.Diff.lag_3;1,21;0,13;Level;Difference;1;1,0;0,21;0;0,54;0;2;0,93;-0,09968611005783856
5,9;6,5;0,0;INSEE_ConsommationFinaleMenagesFR.lag_1;SpreadOAT10Y6M.pct.t;0,73;-2,45;Level;Growth_rate;1;1,0;-0,02;0;0,27;0;23;0,91;-0,09980218724973744
6,5;10,2;0,0;RDB_Nominal.lag_1;Spread5Y6M.lag_1;376,85;938,95;Level;Level;1;1,0;-0,19;0;0,5;0;48;0,9;-0,09989621906691015
5,0;3,5;0,0;EUROSTAT_GDPEuroArea.lag_3;Spread6M3M.Diff.lag_3;0,06;31798,91;Level;Difference;1;1,0;-0,12;1;0,71;0;4;0,94;-0,10034096750449195
6,5;11,0;0,0;RDB_Nominal.lag_3;Spread10Y3M.lag_3;390,29;209,29;Level;Level;1;1,0;-0,37;0;0,42;0;29;0,9;-0,10036348509708937
8,1;7,0;0,0;SP_SP500.lag_3;CPI_Excl_Tabac.pct.lag_3;14,06;-64,74;Level;Growth_rate;1;1,0;0,68;0;0,17;0;23;0,85;-0,10074096835977753
6,2;6,4;0,0;PIB_Reel.t;BBG_TauxOat10Y.t;313,65;-672,1;Level;Level;1;1,0;-0,67;1;0,39;0;9;0,9;-0,10114261614157738
5,4;4,5;0,0;EUROSTAT_GDPEuroArea.t;RDB_Nominal.Diff.lag_3;0,06;176,49;Level;Difference;1;1,0;0,69;0;0,32;0;33;0,93;-0,1011499090693131
5,4;6,1;0,0;INSEE_InvestEntreprisesNonFinancieresFR.t;Spread10Y6M.Diff.lag_3;1,17;-1776,85;Level;Difference;1;1,0;-0,12;0;0,16;0;9;0,93;-0,1011902606830235
6,2;7,8;0,0;PIB_Reel.lag_3;INSEE_ProductionIndustrielle_France.pct.lag_1;332,61;96,02;Level;Growth_rate;1;1,0;0,2;0;0,58;0;9;0,91;-0,1011939288489978
6,3;8,6;0,0;INSEE_PIBFR.lag_12;EUSA5_Curncy.lag_3;0,37;-888,23;Level;Level;1;1,0;-0,65;0;0,29;0;28;0,9;-0,10120421138994873
5,5;5,0;0,0;EUROSTAT_GDPEuroArea.lag_1;Spread10Y3M.Diff.lag_1;0,06;-485,08;Level;Difference;1;1,0;-0,03;1;0,24;0;5;0,92;-0,10139474837705587
6,3;7,8;0,0;PIB_Reel.lag_3;PIB_Reel.Diff.lag_12;334,86;0,5;Level;Difference;1;1,0;0,42;0;0,64;0;8;0,9;-0,10154704842505824
6,2;8,2;0,0;RDB_Nominal.t;INSEE_ProductionIndustrielle_France.pct.lag_1;363,62;212,13;Level;Growth_rate;1;1,0;0,16;1;0,46;0;31;0,91;-0,10222350661354751
6,2;7,9;0,0;PIB_Reel.lag_12;INSEE_ConfianceMenagesFR.t;348,52;122,81;Level;Level;1;1,0;0,61;1;0,28;0;17;0,91;-0,10232013711275445
5,9;6,5;0,0;INSEE_PIBFR.lag_12;EUR006M_Index.t;0,32;-5243,75;Level;Level;1;1,0;-0,82;1;0,47;0;43;0,92;-0,10339169543578008
5,6;5,4;0,0;INSEE_InvestEntreprisesNonFinancieresFR.t;BBG_TauxOat10Y.Diff.lag_12;1,18;672,35;Level;Difference;1;1,0;0,17;0;0,49;0;11;0,92;-0,10354820444158919
6,1;9,0;0,0;RDB_Nominal.lag_3;STOXX_EUROSTOXX50.pct.t;378,11;-52,9;Level;Growth_rate;1;1,0;-0,24;1;0,29;0;11;0,91;-0,10400901058413381
6,1;8,3;0,0;INSEE_PIBFR.lag_3;RDB_Nominal.Diff.lag_12;0,35;-202,66;Level;Difference;1;1,0;0,72;0;0,39;0;13;0,91;-0,10417052049485775
6,5;11,0;0,0;RDB_Nominal.lag_3;Spread10Y6M.lag_3;390,02;207,46;Level;Level;1;1,0;-0,33;0;0,44;0;30;0,9;-0,10436005733321063
6,4;8,6;0,0;RDB_Nominal.t;Chomage.t;403,58;808,6;Level;Level;1;1,0;-0,97;0;0,52;0;49;0,9;-0,10472627935243684
5,6;5,3;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;EUSA10_Curncy.Diff.lag_12;1,19;588,72;Level;Difference;1;1,0;0,17;0;0,59;0;10;0,92;-0,10473231264790983
