"RMSE (en %)";"RMSE OOS (en %)";"Residuals Statio PValue";"Predictor_1";"Predictor_2";"Coeff_1";"Coeff_2";"Transfo_1";"Transfo_2";"Priority_1";"Priority_2";"2-1";"Is signif";"Breusch-Pagan";"Durbin Watson";"Jarque Bera";"R2"
7,3;6;0;"RDB_Nominal.lag_12";"EURONEXT_CAC40.Diff.lag_12";615,17;0,81;"Level";"Difference";1;1;0;1;0,86;0;35;0,83
7,3;5,1;0;"RDB_Nominal.lag_12";"INSEE_InvestEntreprisesNonFinancieresFR.Diff.lag_12";599,31;0,41;"Level";"Difference";1;1;0,48;1;0,84;0;40;0,83
7,3;5;0;"RDB_Nominal.lag_12";"EUSA10_Curncy.Diff.lag_12";608,93;1616,99;"Level";"Difference";1;1;0,1;0;0,62;0;35;0,83
7,3;5,3;0;"SP_SP500.t";"EUR006M_Index.Diff.lag_12";14,23;-4074,03;"Level";"Difference";1;1;0,29;1;0,67;0;2;0,8
7,3;4,8;0;"SP_SP500.t";"INSEE_ConsommationFinaleMenagesFR.Diff.lag_12";13,51;0,44;"Level";"Difference";1;1;0,36;1;0,62;0;1;0,8
7,3;5,4;0;"SP_SP500.t";"INSEE_ProductionIndustrielle_France.Diff.lag_12";13,78;188,71;"Level";"Difference";1;1;0,15;1;0,55;0;6;0,8
7,3;5,2;0,01;"SP_SP500.t";"RDB_Nominal.Diff.lag_12";15,07;-346,5;"Level";"Difference";1;1;0,61;0;0,66;0;4;0,81
7,3;4,6;0;"RDB_Nominal.lag_12";"RDB_Nominal.Diff.lag_12";669,78;-385,46;"Level";"Difference";1;1;0,6;1;0,12;0;30;0,84
7,3;4,9;0;"RDB_Nominal.lag_12";"SpreadOat10Y3M.Diff.lag_12";608,66;933,94;"Level";"Difference";1;1;0,14;0;0,71;0;47;0,83
7,3;5;0;"RDB_Nominal.lag_12";"SpreadOAT10Y6M.Diff.lag_12";609,18;1015,49;"Level";"Difference";1;1;0,12;0;0,71;0;48;0,83
7,3;5;0;"SP_SP500.t";"SP_SP500.Diff.lag_12";14;-2,87;"Level";"Difference";1;1;0,08;1;0,84;0;4;0,8
7,3;5,6;0;"SP_SP500.t";"STOXX_EUROSTOXX50.pct.lag_12";13,66;-15,6;"Level";"Growth_rate";1;1;-0,42;1;0,85;0;4;0,8
7,3;5,6;0;"SP_SP500.t";"EURONEXT_CAC40.pct.lag_12";13,69;-17,51;"Level";"Growth_rate";1;1;-0,38;1;0,88;0;4;0,8
7,3;4,2;0;"SP_SP500.t";"INSEE_PIBFR.pct.lag_12";12,23;1568,97;"Level";"Growth_rate";1;1;0,7;1;0,23;0;10;0,81
7,3;5,1;0;"RDB_Nominal.lag_12";"EUSA10_Curncy.pct.lag_12";612,6;2,89;"Level";"Growth_rate";1;1;0,16;1;0,21;0;45;0,83
7,3;12,6;0;"SP_SP500.t";"BBG_TauxOat10Y.pct.lag_12";14,2;-2,96;"Level";"Growth_rate";1;1;0,4;1;0,85;0;6;0,8
7,3;4,4;0;"SP_SP500.t";"INSEE_ProductionIndustrielle_France.pct.lag_12";13,35;203,62;"Level";"Growth_rate";1;1;0,37;1;0,49;0;5;0,81
7,3;5,4;0;"RDB_Nominal.lag_12";"SP_SP500.pct.lag_12";596,9;-33,92;"Level";"Growth_rate";1;1;-0,41;0;0,51;0;56;0,83
7,3;5;0;"RDB_Nominal.lag_12";"Spread10Y3M.pct.lag_12";615,62;-4,25;"Level";"Growth_rate";1;1;0,02;1;0,78;0;58;0,83
7,3;5,5;0;"RDB_Nominal.lag_12";"SpreadOat10Y3M.pct.lag_12";625,9;-5,31;"Level";"Growth_rate";1;1;0,29;1;0,87;0;64;0,83
7,3;5;0;"RDB_Nominal.lag_12";"Spread10Y6M.pct.lag_12";613,2;-4,22;"Level";"Growth_rate";1;1;-0,07;1;0,71;0;58;0,83
7,3;6,7;0;"SP_SP500.t";"SpreadOAT10Y6M.pct.lag_12";14,27;-6,12;"Level";"Growth_rate";1;1;0,29;1;0,39;0;10;0,8
