RMSE (en %);RMSE OOS (en %);Residuals Statio PValue;Predictor_1;Predictor_2;Coeff_1;Coeff_2;Transfo_1;Transfo_2;Priority_1;Priority_2;2-1;Is signif;Breusch-Pagan;Durbin Watson;Jarque Bera;R2;R2OOS
7,3;12,5;0,01;EUR003M_Index.lag_3;PIB_Reel.pct.t;-14326,93;1121,69;Level;Growth_rate;1;1,0;-0,57;1;0,04;0;26;0,79;-1912,078254214672
5,8;4,8;0,0;RDB_Nominal.lag_3;INSEE_InvestEntreprisesNonFinancieresFR.Diff.lag_3;476,78;0,32;Level;Difference;1;1,0;0,43;0;0,85;0;4;0,88;-1915,9217892969511
8,3;12,1;0,0;EUROSTAT_GDPEuroArea.pct.lag_12;SpreadOat10Y3M.lag_1;4795,06;5411,67;Growth_rate;Level;1;1,0;-0,75;1;0,14;0;35;0,77;-1916,4480184840963
5,6;5,3;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_3;EUSA5_Curncy.lag_12;1,21;-678,61;Level;Level;1;1,0;-0,82;0;0,45;0;0;0,88;-1919,3572364159697
5,8;4,8;0,0;RDB_Nominal.lag_3;EUR006M_Index.Diff.lag_3;485,54;-769,38;Level;Difference;1;1,0;0,05;0;0,92;0;4;0,88;-1926,2673642620466
7,7;4,7;0,0;SP_SP500.lag_1;SpreadOAT10Y6M.lag_1;13,51;-780,17;Level;Level;1;1,0;-0,3;1;0,02;0;58;0,79;-1929,291009567113
5,9;5,2;0,0;INSEE_PIBFR.t;Spread5Y6M.Diff.lag_3;0,37;-3465,3;Level;Difference;1;1,0;0,3;0;0,5;0;12;0,87;-1930,765438675792
5,3;4,2;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;PIB_Reel.pct.lag_1;1,42;-1059,43;Level;Growth_rate;1;1,0;0,77;1;0,99;3;0;0,9;-1935,3438576985702
6,1;4,1;0,0;RDB_Nominal.t;INSEE_ConfianceMenagesFR.Diff.lag_12;443,04;56,25;Level;Difference;1;1,0;0,31;1;0,28;0;8;0,87;-1935,487029020406
7,0;12,8;0,0;EUR003M_Index.t;CPI_Excl_Tabac.lag_1;-11717,83;2064,03;Level;Level;1;1,0;-0,62;1;0,88;0;49;0,83;-1952,596984652108
5,6;6,1;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;INSEE_InvestEntreprisesNonFinancieresFR.pct.lag_3;1,22;36,95;Level;Growth_rate;1;1,0;0,85;1;0,84;0;0;0,88;-1953,7947039236642
7,8;14,3;0,01;EUR003M_Index.lag_1;STOXX_EUROSTOXX50.lag_3;-15368,09;2,71;Level;Level;1;1,0;-0,36;1;0,05;0;33;0,77;-1962,2369747528562
5,4;5,0;0,0;EUROSTAT_GDPEuroArea.lag_3;EUSA5_Curncy.pct.lag_3;0,06;-0,52;Level;Growth_rate;1;1,0;0,24;0;0,41;1;17;0,89;-1965,1323578976996
5,6;5,9;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_3;INSEE_ProductionIndustrielle_France.Diff.t;1,29;44,29;Level;Difference;1;1,0;0,02;0;0,95;0;0;0,88;-1965,9783185589588
6,4;10,3;0,0;PIB_Reel.t;CPI_Excl_Tabac.pct.lag_12;343,71;-794,87;Level;Growth_rate;1;1,0;-0,18;1;0,25;0;18;0,84;-1967,4059155732466
5,7;4,9;0,0;RDB_Nominal.lag_3;BBG_TauxOat10Y.Diff.lag_3;491,12;-883,62;Level;Difference;1;1,0;0,17;0;0,67;0;5;0,88;-1971,188717989083
9,4;14,3;0,09;EUROSTAT_GDPEuroArea.pct.lag_12;EUROSTAT_GDPEuroArea.Diff.lag_3;2702,69;0,23;Growth_rate;Difference;1;1,0;0,49;1;0,02;0;44;0,68;-1979,1946568964581
6,0;10,2;0,0;PIB_Reel.lag_12;EUR006M_Index.lag_1;401,57;-3088,71;Level;Level;1;1,0;-0,92;0;0,5;1;2;0,87;-1999,8576150833674
