Date;pred_0;pred_1;pred_2;pred_3;pred_4;pred_5;pred_6;pred_7;pred_8;pred_9;pred_10;pred_11;pred_12;pred_13;pred_14;pred_15;pred_16;pred_17;pred_18;pred_19;pred_20;pred_21;pred_22;pred_23;pred_24;pred_25;pred_26;pred_27;pred_28;pred_29;pred_30;pred_31;pred_32;pred_33;pred_34;pred_35;pred_36;pred_37;pred_38;pred_39
30/09/2012;27648,851438988368;20654,3622;21089,758256;21802,847500000003;21806,456300000005;20646,278504999995;22399,38070000001;21498,49351;21812,782750000002;23964,505164539005;24995,4657;27156,685999999994;18524,615196;20175,693900000002;19857,072184000004;22987,816550000018;24307,68348;24899,507493041543;23611,64;24884,838223679457;16224,514;18963,02411;21280,612866666663;19131,535059999995;19925,469668000005;20694,88545500001;20392,6229175255;20074,616609999997;19471,11659000002;19923,535000000003;137,46327000000383;21402,100000000006;20402,526670699997;-168,2021599999971;19671,74650000001;20197,686670499985;19936,195350000024;20639,530800000008;20488,873306499998;20329,42132000001
31/10/2012;26883,1793718639;20250,4674;21126,621445999997;21742,771666666682;21742,617533333352;21318,12896333332;22061,480500000005;21736,92327;22068,5932;23964,519813899606;24271,089549999975;27154,952900696182;18386,665826;20223,252541237114;19685,369304000007;22046,333419999995;24020,16197999999;24308,939461134112;23631,199999999997;24291,221420829796;15819,103206764026;20507,745859999995;21321,724749999965;19639,543989999976;19918,875738000002;20462,96099666666;20569,55839707071;20103,945082399994;20257,801766666642;19783,48000000004;81,41732000000047;21064,575238095247;20526,16287565566;-945,3351699999985;19666,563944627123;20216,679999999993;19840,03840000002;20774,941462100003;20526,106732500004;20463,75464900001
30/11/2012;26540,785948844306;20862,256400000002;20975,704496;21659,262499999997;21478,820366666652;21975,141276666676;22961,956600000005;22339,87947;22650,7825;23815,896597355386;25187,153749999998;26551,71692211766;17720,287316;20270,838365546217;19260,02603066669;23297,23668;23732,640480000002;25208,19180636492;23725,219999999987;25195,138251326076;15876,480229529338;21475,41675333334;20952,25808333332;19764,30873999998;19390,336588000006;20555,39116333335;20746,704033364542;20133,2735676;20319,40028333332;19643,42499999996;882,350989999999;20722,540000000008;20511,828761449462;1364,2210000000014;19389,186471419467;20203,263329499998;19744,39174999995;20819,220537900008;20203,822476;20473,614771000008
31/12/2012;26124,152291497405;21347,7581;21749,8995455;21306,450833333336;21219,69510000001;22377,785390000005;22979,54830000001;23079,047219999997;23144,1109;23815,89980500001;24890,679300000018;25945,218082922816;19144,444403;21019,584120584652;19775,29082033332;23059,897110000005;23445,118979999992;24859,219805962057;23827,890000000014;24844,35973817788;16019,110114420528;21769,027246666665;20582,791416666674;19580,682753499976;19534,13136150001;20616,495329999976;20923,57850463412;20320,576490000007;20456,739049999975;19180,206999999995;3561,377204999997;20384,222380952386;20496,39770716046;3135,275600000001;19388,532203499723;20189,84667049999;19320,72007500002;20897,10680000001;20174,046743999992;20517,812319999997
31/01/2013;25728,041498317543;21805,251500000002;22166,936915000002;21225,690833333312;21161,502966666652;22701,74283666667;23280,370599999995;23687,78412;23689,227400000003;23815,966418562093;24956,647799999977;25339,720162375997;20538,106789999998;21509,837156967842;20075,11361;22554,081969999985;23597,665919999992;24939,75180555522;23932,289999999994;24925,306571783323;17040,254147395168;22062,63773999999;19879,22829;19272,848913499998;19512,135895000014;21114,79276666665;21508,787215915538;20391,255112400002;20912,264206666616;19069,752999999968;5981,934220000003;20438,786746987957;20487,835312117488;7025,550760000002;19386,84672035926;20276,26999999999;19229,890399999975;20811,560662100004;21419,476649999997;20150,686889000004
28/02/2013;25950,741013240302;22190,914999999997;22535,526964999997;21150,247500000027;21264,360433333364;22902,755653333326;23122,997799999997;22550,984770000003;23124,761500000004;23848,27846481203;24747,250099999976;25036,48372751663;20709,78515;22045,93476274165;20007,44188333332;22483,095449999993;23750,21286;24724,96644344236;23943,910000000003;24709,457649397606;17275,62195409836;22299,31770666667;19937,02828999996;19405,459979999985;19435,84349500001;21801,04620333336;22094,496787639946;20079,7374976;21628,335823333357;18959,299000000028;8497,889610000002;20491,817619047622;20253,519041769046;9940,828560000002;19448,127791563224;20008,999999999985;19144,688200000033;20802,873337900004;19517,81891999999;20573,322591000004
31/03/2013;26297,173231141674;22570,7712;22366,6168025;20875,80166666668;20830,506600000022;23014,7396;23568,849650000004;23526,227410000003;23443,660750000003;23848,056211232877;24984,1477;24735,341550362784;20681,530205;21989,92142307692;20025,745611666687;23263,703565000018;23902,759799999993;25154,47033679302;23960,719999999987;25141,16607187502;18049,48669051754;22300,076533333333;19994,828290000005;19386,745267499995;19281,59263250002;22501,657390000008;22679,988010663918;20214,62509;22203,025640000007;18610,042000000016;10377,854615;20547,09482352942;20021,707394229787;13706,789615000002;19448,573149364413;19791,649999999994;18820,909799999994;20736,065000000017;19724,851769999994;20410,075710000005
30/04/2013;25089,35342226269;22935,9087;22679,003249999998;20923,23000000004;21046,28546666671;22885,647006666666;23327,094299999997;23807,90842;23762,56;23848,103900000002;24432,895350000006;24432,612271332655;20956,42271;22378,591799327354;19884,847340000008;23496,545979999995;23891,142179999995;24456,526229501935;23967,149999999994;24439,61901706262;18452,421280276816;21379,619479999994;20218,49966333332;19453,29388749998;19237,554600000003;22393,922913333372;22979,719568395114;20088,89275;22207,15890333336;18727,895000000048;12781,305220000002;20489,43505617979;19798,200499342973;15391,793710000002;19450,441254594334;19474,459999999992;18924,342800000042;20426,309999999998;19513,827510000003;20164,375710000008
31/05/2013;25695,64305256743;23485,5832;23363,8567;21029,741666666683;21077,54273333335;23188,980353333318;23817,042499999996;24293,23722;24231,1732;24521,386318502206;24829,40075;24281,730233534625;23656,70236;22772,72455378973;21201,76177333336;22763,41047999999;23879,52455999999;24845,833790273668;24101,460000000006;24830,866423529427;18924,112795677134;21739,49777333335;20158,149663333345;19142,07514999999;20940,114850000013;22902,26643666663;23278,749055450986;19963,160409999997;22562,726926666655;18845,747999999992;13447,362540000002;20434,754222222226;20014,953046638402;15431,986674;20735,273373799108;19679,15999999999;19067,749299999996;20097,581600000005;20492,025041999994;19950,867060000004
30/06/2013;26165,826822827377;23352,911200000002;23794,826354999997;21442,280833333352;21503,877100000012;23346,051985;24507,98659999999;23699,719356;24225,11635;24521,345714814815;25909,26099999997;24128,244309833222;23584,08567;23309,58719846678;21175,99569666668;22990,939874999996;23867,906939999993;25879,32769451698;24228,84999999999;25869,709912230843;18575,761398981325;21711,791336666654;20097,79966333331;19494,74350999997;20882,18246500002;23355,136835000012;23578,468070260395;19430,97509800001;22974,84766999999;19330,834000000003;16567,417115;20377,268260869576;20229,61112727273;15456,113432;20730,356262737245;19734,100000000006;19567,6158;19821,893599999996;20407,989413999996;19539,91812999999
