RMSE (en %);RMSE OOS (en %);Residuals Statio PValue;Predictor_1;Predictor_2;Coeff_1;Coeff_2;Transfo_1;Transfo_2;Priority_1;Priority_2;2-1;Is signif;Breusch-Pagan;Durbin Watson;Jarque Bera;R2;R2OOS
11,6;7,3;0,0;Spread5Y3M.lag_1;EUROSTAT_GDPEuroArea.lag_12;1579,29;0,04;Level;Level;1;1,0;0,0;0;0,02;0;0;0,65;-1,4737143734873177
11,3;6,0;0,0;Chomage.t;Spread5Y6M.lag_3;-4600,74;-809,49;Level;Level;1;1,0;-0,13;0;0,35;0;72;0,68;-1,474851078317061
13,2;11,3;0,08;CPI_Excl_Tabac.lag_12;BBG_TauxOat10Y.Diff.t;2023,85;-29,12;Level;Difference;1;1,0;0,43;0;0,17;0;8;0,58;-1,47497868855582
10,6;19,6;0,13;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;EUROSTAT_GDPEuroArea.Diff.lag_3;0,69;-0,01;Level;Difference;1;1,0;0,21;1;0,5;0;37;0,7;-1,4767258751337504
12,4;12,3;0,02;RDB_Nominal.lag_12;CPI_Excl_Tabac.pct.lag_12;201,08;744,54;Level;Growth_rate;1;1,0;0,38;0;0,0;0;19;0,63;-1,4767928446871883
14,5;9,2;0,0;INSEE_ConsommationFinaleMenagesFR.lag_1;Spread6M3M.pct.lag_12;0,41;7,2;Level;Growth_rate;1;1,0;0,13;0;0,0;0;0;0,5;-1,4802774157427976
12,6;19,0;0,0;RDB_Nominal.pct.t;INSEE_ConsommationFinaleMenagesFR.pct.lag_1;2892,05;-410,09;Growth_rate;Growth_rate;1;1,0;0,42;1;0,83;0;48;0,59;-1,4807503619180955
14,0;11,0;0,0;INSEE_ConsommationFinaleMenagesFR.t;INSEE_ConsommationFinaleMenagesFR.pct.lag_3;0,48;-393,29;Level;Growth_rate;1;1,0;0,43;1;0,0;0;0;0,52;-1,4808999077887033
14,1;6,7;0,03;EURONEXT_CAC40.t;Spread10Y3M.Diff.t;5,47;-1946,72;Level;Difference;1;1,0;0,2;0;0,24;0;42;0,52;-1,4833134727345842
11,5;6,5;0,0;Chomage.t;PIB_Reel.Diff.lag_12;-4566,97;-4,11;Level;Difference;1;1,0;-0,02;0;0,44;0;65;0,68;-1,4842915796498026
13,8;40,9;0,0;PIB_Reel.t;EUSA5_Curncy.lag_1;189,94;-1526,56;Level;Level;1;1,0;0,12;1;0,0;0;0;0,53;-1,4848012892115077
10,4;15,2;0,0;RDB_Nominal.lag_1;Chomage.pct.lag_1;161,8;-232,99;Level;Growth_rate;1;1,0;-0,4;1;0,01;0;36;0,7;-1,4857870068497228
11,1;12,4;0,01;EURONEXT_CAC40.lag_1;Chomage.pct.lag_12;4,56;-408,65;Level;Growth_rate;1;1,0;-0,29;1;0,11;0;75;0,68;-1,4861919174780205
12,3;16,5;0,01;INSEE_PIBFR.lag_1;INSEE_ConfianceMenagesFR.lag_3;0,19;194,72;Level;Level;1;1,0;0,26;1;0,0;0;0;0,61;-1,4862620500860957
13,9;144,1;0,01;INSEE_PIBFR.lag_1;Spread10Y6M.pct.lag_12;0,2;-0,01;Level;Growth_rate;1;1,0;0,18;1;0,0;0;0;0,56;-1,4866352193072898
13,8;29,5;0,01;CPI_Excl_Tabac.lag_3;RDB_Nominal.Diff.lag_3;1207,06;303,93;Level;Difference;1;1,0;0,51;1;0,74;0;32;0,55;-1,4866352193072898
14,0;9,2;0,0;PIB_Reel.lag_1;INSEE_ConsommationFinaleMenagesFR.pct.lag_3;208,33;-342,87;Level;Growth_rate;1;1,0;0,38;1;0,0;0;0;0,55;-1,4866352193072898
14,0;7,8;0,02;EURONEXT_CAC40.t;Spread5Y6M.Diff.lag_1;5,49;-2460,52;Level;Difference;1;1,0;0,24;1;0,41;0;43;0,52;-1,4866352193072898
