"RMSE (en %)";"RMSE OOS (en %)";"Residuals Statio PValue";"Predictor_1";"Predictor_2";"Coeff_1";"Coeff_2";"Transfo_1";"Transfo_2";"Priority_1";"Priority_2";"2-1";"Is signif";"Breusch-Pagan";"Durbin Watson";"Jarque Bera";"R2"
13,3;12,4;0,04;"RDB_Nominal.pct.lag_1";"Spread5Y6M.t";2743,34;-2483,17;"Growth_rate";"Level";1;1;0,29;1;0,03;0;41;0,57
13,3;12,2;0,04;"RDB_Nominal.pct.lag_1";"INSEE_InvestEntreprisesNonFinancieresFR.Diff.lag_1";2773,46;-0,27;"Growth_rate";"Difference";1;1;0,36;0;0,03;0;28;0,57
13,3;14,3;0,04;"RDB_Nominal.pct.lag_1";"INSEE_PIBFR.Diff.t";2678,8;-0,05;"Growth_rate";"Difference";1;1;0,17;0;0,07;0;31;0,57
13,3;14,2;0,05;"RDB_Nominal.pct.lag_1";"PIB_Reel.Diff.lag_1";2677,88;-40,34;"Growth_rate";"Difference";1;1;0,17;0;0,11;0;26;0,57
13,3;25,9;0,05;"RDB_Nominal.pct.lag_1";"EUR006M_Index.Diff.t";2995,2;-3551,17;"Growth_rate";"Difference";1;1;0,62;0;0,01;0;26;0,57
13,3;27,2;0,05;"RDB_Nominal.pct.lag_1";"EUR003M_Index.Diff.t";3003,67;-3993,58;"Growth_rate";"Difference";1;1;0,61;0;0,01;0;26;0,57
13,3;11,4;0,05;"RDB_Nominal.pct.lag_1";"Spread5Y6M.Diff.t";2634,79;2610,93;"Growth_rate";"Difference";1;1;-0,1;0;0,01;0;12;0,56
13,3;21,6;0,05;"RDB_Nominal.pct.t";"EURONEXT_CAC40.pct.t";2550,93;-75,55;"Growth_rate";"Growth_rate";1;1;0,07;1;0,29;0;56;0,56
13,3;20,7;0,04;"RDB_Nominal.pct.t";"EURONEXT_CAC40.pct.lag_1";2547,44;-69,92;"Growth_rate";"Growth_rate";1;1;0,07;1;0,3;0;46;0,56
13,3;11,7;0,05;"RDB_Nominal.pct.lag_1";"SpreadOat10Y3M.Diff.lag_1";2605,94;1867,11;"Growth_rate";"Difference";1;1;-0,02;0;0,02;0;14;0,56
13,3;11,4;0,04;"RDB_Nominal.pct.lag_1";"SpreadOAT10Y6M.Diff.lag_1";2634,15;2096,61;"Growth_rate";"Difference";1;1;-0,09;0;0,02;0;13;0,56
